_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
1,2019,D14,83,Dufferin Grove (83),Female,25 to 34,Adult,Other Criminal Code Violations,Other,1
2,2022,D12,30,Brookhaven-Amesbury (30),Male,<18,Youth,Crimes Against the Person,Assaults,2
3,2018,D14,165,Harbourfront-CityPlace (165),Male,18 to 24,Adult,Other Criminal Code Violations,Other,1
4,2015,D22,18,New Toronto (18),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
5,2014,D52,78,Kensington-Chinatown (78),Male,25 to 34,Adult,Other Criminal Code Violations,Other,46
6,2015,D14,164,Wellington Place (164),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,2
7,2019,D43,143,West Rouge (143),Male,<18,Youth,Other Criminal Code Violations,Other,2
8,2018,D43,133,Centennial Scarborough (133),Male,<18,Youth,Crimes Against Property,Theft Under $5000,1
9,2020,D22,18,New Toronto (18),Male,18 to 24,Adult,Crimes Against the Person,Assaults,5
10,2020,D31,22,Humbermede (22),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
11,2021,D52,166,St Lawrence-East Bayfront-The Islands (166),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,9
12,2016,D43,133,Centennial Scarborough (133),Male,35 to 44,Adult,Criminal Code Traffic,Drive While Disqualified,1
13,2020,D33,43,Victoria Village (43),Male,18 to 24,Adult,Crimes Against the Person,Assaults,3
14,2021,D55,66,Danforth (66),Female,25 to 34,Adult,Crimes Against the Person,Other,1
15,2021,D32,27,York University Heights (27),Male,25 to 34,Adult,Other Criminal Code Violations,Other,18
16,2020,D41,119,Wexford/Maryvale (119),Female,45 to 54,Adult,Crimes Against Property,Break and Enter,3
17,2021,D11,111,Rockcliffe-Smythe (111),Male,35 to 44,Adult,Crimes Against the Person,Assaults,2
18,2014,D43,138,Eglinton East (138),Female,<18,Youth,Crimes Against the Person,Assaults,1
19,2018,D55,44,Flemingdon Park (44),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
20,2020,D14,162,West Queen West (162),Male,35 to 44,Adult,Other Criminal Code Violations,Firearm-Related,1
21,2017,D41,119,Wexford/Maryvale (119),Male,25 to 34,Adult,Crimes Against Property,Fraud,7
22,2022,D22,12,Markland Wood (12),Male,35 to 44,Adult,Crimes Against Property,Fraud,1
23,2016,D42,128,Agincourt South-Malvern West (128),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,11
24,2021,D55,61,Taylor-Massey (61),Male,25 to 34,Adult,Crimes Against the Person,Assaults,11
25,2019,D14,84,Little Portugal (84),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
26,2015,D42,130,Milliken (130),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,7
27,2020,NSA,NSA,NSA,Male,35 to 44,Adult,Crimes Against the Person,Firearm-Related,2
