arrest_year,sex,age_cohort,category,neighbourhood
2022,Male,<18,Crimes Against the Person,Brookhaven-Amesbury
2022,Male,35 to 44,Crimes Against Property,Markland Wood
2022,Female,35 to 44,Crimes Against Property,Junction Area
2022,Male,45 to 54,Other Criminal Code Violations,Humber Bay Shores
2022,Male,18 to 24,Crimes Against Property,Islington
2022,Female,25 to 34,Other Criminal Code Violations,Henry Farm
2022,Male,18 to 24,Crimes Against the Person,NSA
2022,Male,35 to 44,Crimes Against the Person,South Riverdale
2022,Male,25 to 34,Criminal Code Traffic,North Toronto
2022,Male,45 to 54,Crimes Against Property,Islington
2022,Female,35 to 44,Crimes Against the Person,Oakwood Village
2022,Male,35 to 44,Crimes Against the Person,Downsview
2022,Male,25 to 34,Other Criminal Code Violations,Weston-Pelham Park
2022,Male,<18,Crimes Against the Person,Moss Park
2022,Female,25 to 34,Crimes Against Property,York University Heights
2022,Male,<18,Crimes Against the Person,Mount Dennis
2022,Male,25 to 34,Crimes Against Property,High Park-Swansea
2022,Female,25 to 34,Crimes Against the Person,University
2022,Female,35 to 44,Crimes Against the Person,University
2022,Male,35 to 44,Crimes Against the Person,Weston
2022,Male,45 to 54,Crimes Against Property,Woodbine-Lumsden
2022,Male,65+,Crimes Against the Person,O'Connor-Parkview
2022,Male,35 to 44,Crimes Against Property,Agincourt North
2022,Female,18 to 24,Other Criminal Code Violations,Wexford/Maryvale
2022,Male,35 to 44,Crimes Against Property,Don Valley Village
2022,Female,25 to 34,Crimes Against the Person,Alderwood
2022,Female,25 to 34,Crimes Against the Person,Harbourfront-CityPlace
2022,Female,<18,Crimes Against the Person,Agincourt South-Malvern West
2022,Female,35 to 44,Crimes Against Property,Englemount-Lawrence
2022,Male,25 to 34,Crimes Against the Person,Banbury-Don Mills
2022,Male,35 to 44,Other Criminal Code Violations,North Toronto
2022,Male,35 to 44,Crimes Against Property,Flemingdon Park
2022,Female,25 to 34,Crimes Against Property,Kennedy Park
2022,Male,25 to 34,Other Criminal Code Violations,Briar Hill-Belgravia
2022,Male,35 to 44,Crimes Against the Person,Keelesdale-Eglinton West
2022,Male,45 to 54,Crimes Against Property,NSA
2022,Male,25 to 34,Crimes Against Property,Maple Leaf
2022,Male,55 to 64,Other Criminal Code Violations,Taylor-Massey
2022,Female,45 to 54,Crimes Against the Person,Corso Italia-Davenport
2022,Male,45 to 54,Crimes Against Property,Newtonbrook West
2022,Male,18 to 24,Crimes Against Property,Clairlea-Birchmount
2022,Male,35 to 44,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2022,Male,25 to 34,Crimes Against the Person,Westminster-Branson
2022,Male,25 to 34,Other Criminal Code Violations,East L'Amoreaux
2022,Male,55 to 64,Other Criminal Code Violations,West Queen West
2022,Male,55 to 64,Crimes Against Property,O'Connor-Parkview
2022,Male,25 to 34,Crimes Against Property,Harbourfront-CityPlace
2022,Male,<18,Other Criminal Code Violations,Henry Farm
2022,Male,<18,Crimes Against the Person,Parkwoods-O'Connor Hills
2022,Male,35 to 44,Crimes Against the Person,Forest Hill South
2022,Female,35 to 44,Crimes Against Property,Golfdale-Cedarbrae-Woburn
2022,Female,18 to 24,Crimes Against Property,Highland Creek
2022,Male,18 to 24,Controlled Drugs and Substances Act,NSA
2022,Female,18 to 24,Crimes Against the Person,Newtonbrook West
2022,Male,<18,Crimes Against the Person,Downtown Yonge East
2022,Female,25 to 34,Crimes Against Property,Blake-Jones
2022,Male,18 to 24,Crimes Against the Person,University
2022,Female,35 to 44,Crimes Against Property,York University Heights
2022,Female,25 to 34,Crimes Against Property,South Parkdale
2022,Male,<18,Crimes Against Property,Woodbine Corridor
2022,Male,25 to 34,Other Criminal Code Violations,Danforth
2022,Female,25 to 34,Crimes Against Property,Thistletown-Beaumond Heights
2022,Male,35 to 44,Controlled Drugs and Substances Act,Mimico-Queensway
2022,Female,45 to 54,Crimes Against the Person,Wellington Place
2022,Female,35 to 44,Other Criminal Code Violations,Cliffcrest
2022,Female,55 to 64,Crimes Against Property,O'Connor-Parkview
2022,Male,35 to 44,Controlled Drugs and Substances Act,York University Heights
2022,Male,18 to 24,Other Criminal Code Violations,Yorkdale-Glen Park
2022,Male,25 to 34,Other Criminal Code Violations,Avondale
2022,Male,65+,Other Criminal Code Violations,Parkwoods-O'Connor Hills
2022,Male,18 to 24,Crimes Against the Person,Wellington Place
2022,Male,25 to 34,Crimes Against Property,Oakdale-Beverley Heights
2022,Male,25 to 34,Crimes Against Property,Lawrence Park South
2022,Female,18 to 24,Crimes Against the Person,West Rouge
2022,Female,55 to 64,Crimes Against the Person,Woburn North
2022,Male,35 to 44,Crimes Against Property,Wexford/Maryvale
2022,Male,45 to 54,Crimes Against Property,High Park-Swansea
2022,Male,55 to 64,Crimes Against the Person,Highland Creek
2022,Male,45 to 54,Crimes Against the Person,Forest Hill South
2022,Female,45 to 54,Crimes Against Property,West Hill
2022,Female,45 to 54,Crimes Against Property,South Riverdale
2022,Male,25 to 34,Crimes Against Property,The Beaches
2022,Male,45 to 54,Crimes Against Property,Caledonia-Fairbank
2022,Male,65+,Crimes Against the Person,Junction-Wallace Emerson
2022,Male,25 to 34,Other Criminal Code Violations,Danforth East York
2022,Female,25 to 34,Other Criminal Code Violations,Bayview Woods-Steeles
2022,Male,35 to 44,Crimes Against Property,South Riverdale
2022,Male,35 to 44,Other Criminal Code Violations,Lansing-Westgate
2022,Female,35 to 44,Other Criminal Code Violations,Golfdale-Cedarbrae-Woburn
2022,Male,25 to 34,Crimes Against Property,York University Heights
2022,Male,55 to 64,Crimes Against the Person,East L'Amoreaux
2022,Male,35 to 44,Crimes Against Property,Victoria Village
2022,Male,35 to 44,Crimes Against the Person,East L'Amoreaux
2022,Male,18 to 24,Criminal Code Traffic,West Humber-Clairville
2022,Male,18 to 24,Crimes Against Property,NSA
2022,Male,<18,Crimes Against the Person,Birchcliffe-Cliffside
2022,Female,18 to 24,Crimes Against the Person,York University Heights
2022,Female,18 to 24,Crimes Against Property,Harbourfront-CityPlace
2022,Male,25 to 34,Crimes Against Property,Willowdale West
2022,Female,45 to 54,Other Criminal Code Violations,Annex
2022,Male,<18,Crimes Against the Person,Fenside-Parkwoods
2022,Male,45 to 54,Other Criminal Code Violations,Kennedy Park
2022,Male,45 to 54,Other Criminal Code Violations,Agincourt South-Malvern West
2022,Male,35 to 44,Crimes Against the Person,Broadview North
2022,Female,18 to 24,Crimes Against Property,Playter Estates-Danforth
2022,Male,45 to 54,Other Criminal Code Violations,York University Heights
2022,Female,55 to 64,Crimes Against Property,South Riverdale
2022,Male,45 to 54,Crimes Against the Person,Cliffcrest
2022,Female,35 to 44,Other Criminal Code Violations,Cabbagetown-South St.James Town
2022,Male,55 to 64,Crimes Against the Person,Bendale-Glen Andrew
2022,Male,<18,Crimes Against the Person,Dorset Park
2022,Female,18 to 24,Crimes Against the Person,Woodbine Corridor
2022,Male,25 to 34,Crimes Against the Person,Runnymede-Bloor West Village
2022,Male,25 to 34,Crimes Against Property,Wellington Place
2022,Male,35 to 44,Crimes Against Property,Humbermede
2022,Female,25 to 34,Criminal Code Traffic,NSA
2022,Female,35 to 44,Crimes Against the Person,Trinity-Bellwoods
2022,Male,<18,Crimes Against the Person,Morningside
2022,Male,35 to 44,Crimes Against Property,Leaside-Bennington
2022,Male,18 to 24,Crimes Against Property,Eglinton East
2022,Male,<18,Crimes Against the Person,L'Amoreaux West
2022,Male,45 to 54,Other Criminal Code Violations,East Willowdale
2022,Male,18 to 24,Crimes Against the Person,Kingsview Village-The Westway
2022,Male,35 to 44,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2022,Male,<18,Crimes Against the Person,Dufferin Grove
2022,Female,25 to 34,Crimes Against Property,Downsview
2022,Male,<18,Crimes Against the Person,Elms-Old Rexdale
2022,Female,25 to 34,Other Criminal Code Violations,Bendale South
2022,Male,18 to 24,Other Criminal Code Violations,Newtonbrook East
2022,Female,45 to 54,Other Criminal Code Violations,Downtown Yonge East
2022,Female,35 to 44,Crimes Against the Person,Wychwood
2022,Male,18 to 24,Crimes Against the Person,Eringate-Centennial-West Deane
2022,Female,35 to 44,Other Criminal Code Violations,Eringate-Centennial-West Deane
2022,Male,25 to 34,Crimes Against the Person,Lawrence Park South
2022,Male,25 to 34,Crimes Against Property,South Parkdale
2022,Male,<18,Other Criminal Code Violations,Trinity-Bellwoods
2022,Female,18 to 24,Crimes Against the Person,Rosedale-Moore Park
2022,Male,35 to 44,Crimes Against the Person,Newtonbrook East
2022,Male,45 to 54,Crimes Against the Person,Glenfield-Jane Heights
2022,Male,35 to 44,Crimes Against Property,Downsview
2022,Female,35 to 44,Crimes Against the Person,Harbourfront-CityPlace
2022,Male,<18,Crimes Against the Person,Lawrence Park South
2022,Male,35 to 44,Crimes Against Property,Clanton Park
2022,Female,25 to 34,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2022,Female,45 to 54,Crimes Against Property,Clairlea-Birchmount
2022,Male,25 to 34,Crimes Against Property,Willowdale West
2022,Male,18 to 24,Crimes Against Property,St.Andrew-Windfields
2022,Male,25 to 34,Controlled Drugs and Substances Act,St Lawrence-East Bayfront-The Islands
2022,Female,45 to 54,Criminal Code Traffic,Fort York-Liberty Village
2022,Female,18 to 24,Crimes Against Property,Kensington-Chinatown
2022,Male,25 to 34,Other Criminal Code Violations,Eglinton East
2022,Male,18 to 24,Other Criminal Code Violations,Weston-Pelham Park
2022,Male,25 to 34,Crimes Against the Person,Palmerston-Little Italy
2022,Female,25 to 34,Other Criminal Code Violations,Lansing-Westgate
2022,Male,55 to 64,Crimes Against the Person,The Beaches
2022,Male,55 to 64,Crimes Against the Person,Roncesvalles
2022,Male,25 to 34,Crimes Against the Person,Oakridge
2022,Male,45 to 54,Crimes Against the Person,Church-Wellesley
2022,Female,45 to 54,Other Criminal Code Violations,Mount Olive-Silverstone-Jamestown
2022,Female,35 to 44,Crimes Against Property,West Humber-Clairville
2022,Male,45 to 54,Crimes Against the Person,Rosedale-Moore Park
2022,Male,35 to 44,Other Criminal Code Violations,Junction Area
2022,Male,25 to 34,Other Criminal Code Violations,East Willowdale
2022,Female,25 to 34,Other Criminal Code Violations,South Eglinton-Davisville
2022,Female,25 to 34,Crimes Against Property,Alderwood
2022,Male,<18,Crimes Against the Person,Centennial Scarborough
2022,Male,35 to 44,Other Criminal Code Violations,Don Valley Village
2022,Male,<18,Other Criminal Code Violations,Forest Hill North
2022,Female,18 to 24,Controlled Drugs and Substances Act,Cliffcrest
2022,Male,55 to 64,Controlled Drugs and Substances Act,Keelesdale-Eglinton West
2022,Male,35 to 44,Crimes Against the Person,Danforth
2022,Female,<18,Crimes Against the Person,West Hill
2022,Male,45 to 54,Crimes Against the Person,Roncesvalles
2022,Male,35 to 44,Crimes Against Property,Downsview
2022,Male,25 to 34,Other Criminal Code Violations,Downtown Yonge East
2022,Male,18 to 24,Crimes Against the Person,Kingsview Village-The Westway
2022,Male,25 to 34,Crimes Against Property,Guildwood
2022,Male,35 to 44,Crimes Against the Person,Downtown Yonge East
2022,Male,45 to 54,Other Criminal Code Violations,Playter Estates-Danforth
2022,Male,35 to 44,Crimes Against the Person,Annex
2022,Male,35 to 44,Crimes Against the Person,Bendale-Glen Andrew
2022,Female,45 to 54,Crimes Against the Person,Dorset Park
2022,Male,35 to 44,Crimes Against the Person,Tam O'Shanter-Sullivan
2022,Male,35 to 44,Crimes Against Property,Avondale
2022,Male,45 to 54,Crimes Against Property,Blake-Jones
2022,Male,18 to 24,Crimes Against the Person,Pelmo Park-Humberlea
2022,Female,18 to 24,Other Criminal Code Violations,Playter Estates-Danforth
2022,Female,35 to 44,Crimes Against the Person,Moss Park
2022,Male,<18,Crimes Against the Person,Annex
2022,Female,25 to 34,Crimes Against Property,Malvern West
2022,Female,<18,Crimes Against the Person,Woodbine-Lumsden
2022,Male,18 to 24,Crimes Against Property,Parkwoods-O'Connor Hills
2022,Male,18 to 24,Other Criminal Code Violations,Runnymede-Bloor West Village
2022,Male,55 to 64,Other Criminal Code Violations,Wychwood
2022,Female,55 to 64,Crimes Against the Person,Newtonbrook West
2022,Female,35 to 44,Other Criminal Code Violations,Mimico-Queensway
2022,Male,45 to 54,Crimes Against Property,Little Portugal
2022,Male,45 to 54,Crimes Against the Person,Rexdale-Kipling
