arrest_year,sex,age_cohort,category,neighbourhood
2019,Female,25 to 34,Other Criminal Code Violations,Dufferin Grove
2022,Male,<18,Crimes Against the Person,Brookhaven-Amesbury
2018,Male,18 to 24,Other Criminal Code Violations,Harbourfront-CityPlace
2015,Male,25 to 34,Controlled Drugs and Substances Act,New Toronto
2014,Male,25 to 34,Other Criminal Code Violations,Kensington-Chinatown
2015,Male,35 to 44,Crimes Against Property,Wellington Place
2019,Male,<18,Other Criminal Code Violations,West Rouge
2018,Male,<18,Crimes Against Property,Centennial Scarborough
2020,Male,18 to 24,Crimes Against the Person,New Toronto
2020,Male,25 to 34,Crimes Against Property,Humbermede
2021,Male,25 to 34,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2016,Male,35 to 44,Criminal Code Traffic,Centennial Scarborough
2020,Male,18 to 24,Crimes Against the Person,Victoria Village
2021,Female,25 to 34,Crimes Against the Person,Danforth
2021,Male,25 to 34,Other Criminal Code Violations,York University Heights
2020,Female,45 to 54,Crimes Against Property,Wexford/Maryvale
2021,Male,35 to 44,Crimes Against the Person,Rockcliffe-Smythe
2014,Female,<18,Crimes Against the Person,Eglinton East
2018,Male,45 to 54,Criminal Code Traffic,Flemingdon Park
2020,Male,35 to 44,Other Criminal Code Violations,West Queen West
2017,Male,25 to 34,Crimes Against Property,Wexford/Maryvale
2022,Male,35 to 44,Crimes Against Property,Markland Wood
2016,Male,45 to 54,Crimes Against Property,Agincourt South-Malvern West
2021,Male,25 to 34,Crimes Against the Person,Taylor-Massey
2019,Male,55 to 64,Controlled Drugs and Substances Act,Little Portugal
2015,Female,35 to 44,Crimes Against Property,Milliken
2020,Male,35 to 44,Crimes Against the Person,NSA
2019,Female,<18,Other Criminal Code Violations,Beechborough-Greenbrook
2016,Male,45 to 54,Crimes Against the Person,Moss Park
2014,Male,<18,Controlled Drugs and Substances Act,Eringate-Centennial-West Deane
2015,Male,35 to 44,Other Criminal Code Violations,East L'Amoreaux
2018,Male,55 to 64,Crimes Against the Person,Mount Pleasant East
2019,Male,18 to 24,Other Criminal Code Violations,Blake-Jones
2017,Male,35 to 44,Crimes Against the Person,Highland Creek
2019,Male,45 to 54,Other Criminal Code Violations,Islington
2016,Male,<18,Crimes Against the Person,Morningside
2017,Female,25 to 34,Crimes Against Property,Ionview
2017,Male,25 to 34,Crimes Against the Person,Downtown Yonge East
2014,Male,18 to 24,Crimes Against the Person,Casa Loma
2021,Male,35 to 44,Crimes Against Property,Eglinton East
2014,Male,25 to 34,Crimes Against Property,Glenfield-Jane Heights
2015,Male,35 to 44,Other Criminal Code Violations,Clairlea-Birchmount
2014,Male,25 to 34,Crimes Against Property,NSA
2020,Female,18 to 24,Crimes Against the Person,Weston
2022,Female,35 to 44,Crimes Against Property,Junction Area
2017,Male,45 to 54,Crimes Against the Person,Malvern West
2018,Male,18 to 24,Controlled Drugs and Substances Act,Taylor-Massey
2018,Male,18 to 24,Other Criminal Code Violations,Agincourt South-Malvern West
2022,Male,45 to 54,Other Criminal Code Violations,Humber Bay Shores
2014,Male,18 to 24,Crimes Against the Person,Trinity-Bellwoods
2022,Male,18 to 24,Crimes Against Property,Islington
2014,Male,45 to 54,Crimes Against Property,The Beaches
2018,Female,18 to 24,Other Criminal Code Violations,North Riverdale
2016,Female,45 to 54,Criminal Code Traffic,Leaside-Bennington
2020,Female,35 to 44,Other Criminal Code Violations,Moss Park
2021,Male,25 to 34,Controlled Drugs and Substances Act,Weston
2018,Male,25 to 34,Crimes Against Property,Danforth
2016,Male,55 to 64,Crimes Against Property,O'Connor-Parkview
2018,Male,55 to 64,Crimes Against Property,Birchcliffe-Cliffside
2020,Male,65+,Controlled Drugs and Substances Act,Beechborough-Greenbrook
2018,Male,25 to 34,Crimes Against the Person,St.Andrew-Windfields
2018,Female,25 to 34,Crimes Against Property,Banbury-Don Mills
